table_id,staff_id,start_time,end_time,activity_type
51,H,2021-08-18 21:07:18,2021-08-18 21:07:23,W
51,HM,2021-08-18 21:07:32,2021-08-18 21:08:41,S
35,H,2021-08-18 21:07:38,2021-08-18 21:07:46,C
54,H,2021-08-18 21:08:09,2021-08-18 21:10:45,W-O
52,HM,2021-08-18 21:09:23,2021-08-18 21:09:40,S
51,HM,2021-08-18 21:09:42,2021-08-18 21:09:48,S
53,H,2021-08-18 21:10:50,2021-08-18 21:10:59,C
53,H,2021-08-18 21:11:19,2021-08-18 21:11:40,C
34,O,2021-08-18 21:12:03,2021-08-18 21:12:24,O
34,O,2021-08-18 21:12:38,2021-08-18 21:12:40,Cutlery
54,H,2021-08-18 21:13:32,2021-08-18 21:14:17,S
52,Q,2021-08-18 21:14:15,2021-08-18 21:14:31,S
36,H,2021-08-18 21:14:22,2021-08-18 21:14:27,F
54,H,2021-08-18 21:14:42,2021-08-18 21:15:52,O
53,H,2021-08-18 21:15:58,2021-08-18 21:16:06,C
34,O,2021-08-18 21:18:46,2021-08-18 21:19:09,O
54,H,2021-08-18 21:18:54,2021-08-18 21:19:00,Cutlery
35,H,2021-08-18 21:19:12,2021-08-18 21:19:20,C
34,HM,2021-08-18 21:20:44,2021-08-18 21:21:05,S
53,H,2021-08-18 21:20:54,2021-08-18 21:21:04,W
34,Q,2021-08-18 21:21:56,2021-08-18 21:22:08,S
54,H,2021-08-18 21:23:26,2021-08-18 21:23:36,O
55,H,2021-08-18 21:23:37,2021-08-18 21:23:49,C
55,H,2021-08-18 21:24:56,2021-08-18 21:25:01,C
36,H,2021-08-18 21:25:50,2021-08-18 21:26:14,P
53,H,2021-08-18 21:26:45,2021-08-18 21:27:57,F-O
54,H,2021-08-18 21:29:01,2021-08-18 21:29:09,S
55,H,2021-08-18 21:30:10,2021-08-18 21:30:45,W
54,AO,2021-08-18 21:30:23,2021-08-18 21:30:42,S
52,AO,2021-08-18 21:30:43,2021-08-18 21:32:09,F
56,H,2021-08-18 21:31:24,2021-08-18 21:31:37,S
56,H,2021-08-18 21:32:07,2021-08-18 21:32:32,P
53,HM,2021-08-18 21:35:40,2021-08-18 21:41:21,S-F
55,H,2021-08-18 21:36:42,2021-08-18 21:36:51,F-O
54,H,2021-08-18 21:36:52,2021-08-18 21:37:05,O
52,H,2021-08-18 21:37:24,2021-08-18 21:37:52,C
34,O,2021-08-18 21:38:12,2021-08-18 21:38:15,S
55,AO,2021-08-18 21:38:31,2021-08-18 21:40:01,S
52,H,2021-08-18 21:38:59,2021-08-18 21:39:06,C
52,H,2021-08-18 21:39:54,2021-08-18 21:40:29,C
56,H,2021-08-18 21:40:32,2021-08-18 21:40:39,C
56,H,2021-08-18 21:40:48,2021-08-18 21:40:59,C
34,HM,2021-08-18 21:41:46,2021-08-18 21:42:22,S
34,HM,2021-08-18 21:42:55,2021-08-18 21:43:58,R-O
36,H,2021-08-18 21:43:48,2021-08-18 21:43:56,C
56,H,2021-08-18 21:44:36,2021-08-18 21:44:56,C
36,H,2021-08-18 21:46:45,2021-08-18 21:46:50,C
36,H,2021-08-18 21:47:08,2021-08-18 21:47:35,C
54,H,2021-08-18 21:48:09,2021-08-18 21:48:26,F-R
34,O,2021-08-18 21:49:00,2021-08-18 21:52:28,F-R
51,H,2021-08-18 21:49:01,2021-08-18 21:49:11,S
36,H,2021-08-18 21:53:57,2021-08-18 21:54:04,C
20,HM,2021-08-18 20:02:02,2021-08-18 20:04:24,S
13,O,2021-08-18 20:03:12,2021-08-18 20:04:28,R&P
20,Q,2021-08-18 20:04:09,2021-08-18 20:04:21,S
20,HM,2021-08-18 20:04:39,2021-08-18 20:05:05,S
11,O,2021-08-18 20:04:57,2021-08-18 20:06:02,F
14,O,2021-08-18 20:07:30,2021-08-18 20:07:35,S
12,O,2021-08-18 20:07:37,2021-08-18 20:08:12,S
16,O,2021-08-18 20:08:13,2021-08-18 20:08:41,F&O
15,O,2021-08-18 20:08:49,2021-08-18 20:09:26,P
17,O,2021-08-18 20:09:30,2021-08-18 20:09:47,R
31,O,2021-08-18 20:10:30,2021-08-18 20:11:45,F&R
20,A,2021-08-18 20:12:09,2021-08-18 20:12:23,S
20,A,2021-08-18 20:12:45,2021-08-18 20:12:52,CULTERY
20,O,2021-08-18 20:13:00,2021-08-18 20:13:09,CULTERY
15,O,2021-08-18 20:13:20,2021-08-18 20:14:00,P&R
11,O,2021-08-18 20:14:06,2021-08-18 20:15:25,R
11,O,2021-08-18 20:17:05,2021-08-18 20:17:19,S
13,O,2021-08-18 20:17:22,2021-08-18 20:17:34,R
20,AO,2021-08-18 20:17:54,2021-08-18 20:18:36,S
13,O,2021-08-18 20:18:21,2021-08-18 20:18:45,C
20,H,2021-08-18 20:18:27,2021-08-18 20:18:54,S
11,O,2021-08-18 20:19:03,2021-08-18 20:20:06,F&P
12,AO,2021-08-18 20:19:12,2021-08-18 20:19:23,S
20,H,2021-08-18 20:19:34,2021-08-18 20:19:49,S
12,AO,2021-08-18 20:20:01,2021-08-18 20:20:19,S&R
14,O,2021-08-18 20:21:32,2021-08-18 20:21:41,S
31,O,2021-08-18 20:22:08,2021-08-18 20:22:23,O
15,O,2021-08-18 20:23:54,2021-08-18 20:24:13,F
17,O,2021-08-18 20:24:18,2021-08-18 20:24:46,R&P
20,AO,2021-08-18 20:25:50,2021-08-18 20:26:04,S
31,HM,2021-08-18 20:26:09,2021-08-18 20:26:16,S
32,O,2021-08-18 20:26:37,2021-08-18 20:27:48,O
32,O,2021-08-18 20:29:42,2021-08-18 20:29:53,O
31,O,2021-08-18 20:29:57,2021-08-18 20:30:02,R
20,O,2021-08-18 20:30:24,2021-08-18 20:30:45,R
14,O,2021-08-18 20:31:15,2021-08-18 20:31:48,R
15,O,2021-08-18 20:32:36,2021-08-18 20:32:53,C
20,Q,2021-08-18 20:33:35,2021-08-18 20:34:03,S
11,O,2021-08-18 20:34:11,2021-08-18 20:34:39,R
16,O,2021-08-18 20:34:43,2021-08-18 20:35:19,P
17,O,2021-08-18 20:38:42,2021-08-18 20:39:07,R
13,O,2021-08-18 20:40:25,2021-08-18 20:40:35,F
17,O,2021-08-18 20:40:36,2021-08-18 20:40:45,R
20,O,2021-08-18 20:41:19,2021-08-18 20:46:24,S&O
16,HM,2021-08-18 20:44:57,2021-08-18 20:45:35,S
13,O,2021-08-18 20:47:57,2021-08-18 20:48:15,S
15,O,2021-08-18 20:48:44,2021-08-18 20:48:48,CULTERY
12,O,2021-08-18 20:48:52,2021-08-18 20:49:05,C
17,O,2021-08-18 20:49:13,2021-08-18 20:50:23,O
20,HM,2021-08-18 20:50:06,2021-08-18 20:51:18,S
20,HM,2021-08-18 20:51:42,2021-08-18 20:52:13,S
12,O,2021-08-18 20:53:36,2021-08-18 20:53:44,R
13,O,2021-08-18 20:56:47,2021-08-18 20:57:05,O
17,Q,2021-08-18 20:56:56,2021-08-18 20:57:47,S
